year,month,day,time,foF2,foF2_
2016,5,1,0,C,C
2016,5,1,1,C,C
2016,5,1,2,C,C
2016,5,1,3,C,C
2016,5,1,4,C,C
2016,5,1,5,C,C
2016,5,1,6,C,C
2016,5,1,7,C,C
2016,5,1,8,C,C
2016,5,1,9,C,C
2016,5,1,10,C,C
2016,5,1,11,C,C
2016,5,1,12,C,C
2016,5,1,13,C,C
2016,5,1,14,C,C
2016,5,1,15,C,C
2016,5,1,16,C,C
2016,5,1,17,C,C
2016,5,1,18,C,C
2016,5,1,19,C,C
2016,5,1,20,C,C
2016,5,1,21,C,C
2016,5,1,22,C,C
2016,5,1,23,9.0,9.0
2016,5,2,0,7.7,7.7
2016,5,2,1,8.3,8.1
2016,5,2,2,7.9,7.9
2016,5,2,3,5.0,5.3
2016,5,2,4,4.8,5.1
2016,5,2,5,4.8,4.8
2016,5,2,6,4.9,4.9
2016,5,2,7,4.8,4.8
2016,5,2,8,6.0,6.0
2016,5,2,9,3.8,3.9
2016,5,2,10,3.4,3.4
2016,5,2,11,5.3,5.3
2016,5,2,12,7.8,7.8
2016,5,2,13,8.6,8.6
2016,5,2,14,8.9,8.9
2016,5,2,15,11.1,11.1
2016,5,2,16,9.5,9.5
2016,5,2,17,10.0,10.0
2016,5,2,18,11.6,11.6
2016,5,2,19,13.3,13.1
2016,5,2,20,14.9,14.9
2016,5,2,21,14.0,14.0
2016,5,2,22,13.3,13.3
2016,5,2,23,11.7,11.7
2016,5,3,0,8.6,8.6
2016,5,3,1,9.8,9.8
2016,5,3,2,9.2,9.1
2016,5,3,3,5.8,5.8
2016,5,3,4,3.8,3.8
2016,5,3,5,4.3,4.3
2016,5,3,6,4.7,4.7
2016,5,3,7,4.6,4.6
2016,5,3,8,5.3,5.3
2016,5,3,9,3.2,3.2
2016,5,3,10,2.7,2.7
2016,5,3,11,4.7,4.7
2016,5,3,12,7.6,7.6
2016,5,3,13,9.3,9.3
2016,5,3,14,9.4,9.4
2016,5,3,15,10.3,10.3
2016,5,3,16,8.8,8.8
2016,5,3,17,7.4,7.4
2016,5,3,18,7.9,7.9
2016,5,3,19,7.8,7.8
2016,5,3,20,8.6,8.6
2016,5,3,21,7.8,7.8
2016,5,3,22,6.3,6.3
2016,5,3,23,4.3,4.3
2016,5,4,0,4.0,4.0
2016,5,4,1,C,C
2016,5,4,2,4.1,4.1
2016,5,4,3,C,C
2016,5,4,4,C,C
2016,5,4,5,C,C
2016,5,4,6,C,C
2016,5,4,7,C,C
2016,5,4,8,C,C
2016,5,4,9,C,C
2016,5,4,10,C,C
2016,5,4,11,4.3,4.3
2016,5,4,12,6.9,6.9
2016,5,4,13,8.1,8.1
2016,5,4,14,9.1,9.1
2016,5,4,15,11.3,11.3
2016,5,4,16,10.8,10.8
2016,5,4,17,9.0,8.8
2016,5,4,18,9.3,9.3
2016,5,4,19,10.3,10.3
2016,5,4,20,8.9,8.9
2016,5,4,21,8.9,8.9
2016,5,4,22,6.1,6.1
2016,5,4,23,5.0,5.0
2016,5,5,0,4.9,4.9
2016,5,5,1,5.3,5.3
2016,5,5,2,6.1,6.1
2016,5,5,3,5.5,5.5
2016,5,5,4,5.0,5.0
2016,5,5,5,5.3,5.3
2016,5,5,6,5.8,5.8
2016,5,5,7,5.6,5.6
2016,5,5,8,5.3,5.3
2016,5,5,9,2.6,2.6
2016,5,5,10,2.2,2.2
2016,5,5,11,4.8,4.8
2016,5,5,12,6.3,6.4
2016,5,5,13,7.6,7.6
2016,5,5,14,8.4,8.4
2016,5,5,15,9.4,9.5
2016,5,5,16,7.9,7.9
2016,5,5,17,7.0,7.3
2016,5,5,18,9.9,9.9
2016,5,5,19,11.4,11.4
2016,5,5,20,9.3,9.3
2016,5,5,21,7.3,7.2
2016,5,5,22,5.8,5.8
2016,5,5,23,4.4,4.4
2016,5,6,0,4.5,4.9
2016,5,6,1,5.7,5.8
2016,5,6,2,6.2,6.0
2016,5,6,3,5.9,5.9
2016,5,6,4,5.3,5.4
2016,5,6,5,C,C
2016,5,6,6,3.9,3.9
2016,5,6,7,2.5,2.7
2016,5,6,8,2.2,2.4
2016,5,6,9,2.1,2.1
2016,5,6,10,2.0,2.2
2016,5,6,11,4.3,4.3
2016,5,6,12,7.5,7.5
2016,5,6,13,7.9,7.9
2016,5,6,14,8.6,8.6
2016,5,6,15,9.1,9.1
2016,5,6,16,8.8,8.7
2016,5,6,17,7.3,7.4
2016,5,6,18,7.9,7.9
2016,5,6,19,9.1,9.1
2016,5,6,20,10.0,10.0
2016,5,6,21,8.6,8.6
2016,5,6,22,7.6,7.6
2016,5,6,23,7.7,7.7
2016,5,7,0,6.0,6.0
2016,5,7,1,6.8,7.2
2016,5,7,2,7.5,7.4
2016,5,7,3,5.4,5.4
2016,5,7,4,5.2,5.2
2016,5,7,5,5.8,5.8
2016,5,7,6,7.5,7.5
2016,5,7,7,C,1.9
2016,5,7,8,1.9,1.9
2016,5,7,9,2.0,2.0
2016,5,7,10,C,1.9
2016,5,7,11,4.3,4.3
2016,5,7,12,7.3,7.3
2016,5,7,13,7.6,7.6
2016,5,7,14,9.6,9.6
2016,5,7,15,10.4,10.4
2016,5,7,16,11.3,11.3
2016,5,7,17,12.0,12.0
2016,5,7,18,13.5,13.5
2016,5,7,19,13.8,13.8
2016,5,7,20,14.1,13.8
2016,5,7,21,13.2,13.2
2016,5,7,22,9.2,8.9
2016,5,7,23,4.9,4.9
2016,5,8,0,5.2,5.2
2016,5,8,1,5.8,5.8
2016,5,8,2,6.4,6.3
2016,5,8,3,6.2,6.0
2016,5,8,4,5.4,5.2
2016,5,8,5,C,C
2016,5,8,6,5.6,5.1
2016,5,8,7,6.9,7.2
2016,5,8,8,C,C
2016,5,8,9,2.5,2.3
2016,5,8,10,3.8,3.9
2016,5,8,11,4.3,4.5
2016,5,8,12,5.2,5.3
2016,5,8,13,7.2,7.2
2016,5,8,14,10.8,10.8
2016,5,8,15,13.6,13.6
2016,5,8,16,11.4,11.4
2016,5,8,17,7.3,8.0
2016,5,8,18,10.0,10.0
2016,5,8,19,14.2,13.7
2016,5,8,20,15.1,15.1
2016,5,8,21,11.8,11.8
2016,5,8,22,11.6,11.6
2016,5,8,23,6.6,6.8
2016,5,9,0,7.1,7.1
2016,5,9,1,8.7,8.7
2016,5,9,2,8.7,8.7
2016,5,9,3,7.7,7.7
2016,5,9,4,7.5,7.5
2016,5,9,5,7.8,7.8
2016,5,9,6,5.6,5.6
2016,5,9,7,5.3,5.5
2016,5,9,8,4.8,4.8
2016,5,9,9,2.2,2.2
2016,5,9,10,C,C
2016,5,9,11,C,C
2016,5,9,12,C,C
2016,5,9,13,8.3,8.3
2016,5,9,14,7.4,7.4
2016,5,9,15,7.8,7.8
2016,5,9,16,8.1,8.1
2016,5,9,17,7.4,7.4
2016,5,9,18,9.4,9.4
2016,5,9,19,10.1,10.0
2016,5,9,20,10.8,10.9
2016,5,9,21,11.1,11.1
2016,5,9,22,11.4,11.4
2016,5,9,23,8.3,8.1
2016,5,10,0,5.9,5.9
2016,5,10,1,7.5,7.5
2016,5,10,2,4.8,4.8
2016,5,10,3,3.4,3.1
2016,5,10,4,2.5,2.7
2016,5,10,5,2.7,2.7
2016,5,10,6,3.1,2.9
2016,5,10,7,3.4,3.4
2016,5,10,8,3.9,3.9
2016,5,10,9,3.2,3.2
2016,5,10,10,3.1,3.1
2016,5,10,11,4.9,4.7
2016,5,10,12,6.0,6.0
2016,5,10,13,7.8,7.8
2016,5,10,14,7.5,7.5
2016,5,10,15,7.9,7.9
2016,5,10,16,10.3,10.3
2016,5,10,17,9.6,9.6
2016,5,10,18,6.9,7.1
2016,5,10,19,8.1,8.1
2016,5,10,20,8.6,8.6
2016,5,10,21,6.9,6.9
2016,5,10,22,7.5,7.5
2016,5,10,23,C,C
2016,5,11,0,C,C
2016,5,11,1,C,C
2016,5,11,2,C,C
2016,5,11,3,C,C
2016,5,11,4,C,C
2016,5,11,5,C,C
2016,5,11,6,C,C
2016,5,11,7,3.9,3.9
2016,5,11,8,3.9,3.9
2016,5,11,9,2.1,2.1
2016,5,11,10,2.1,2.1
2016,5,11,11,4.4,4.4
2016,5,11,12,6.3,6.3
2016,5,11,13,6.5,6.5
2016,5,11,14,6.5,6.5
2016,5,11,15,7.3,7.1
2016,5,11,16,7.8,7.8
2016,5,11,17,6.9,6.9
2016,5,11,18,6.8,6.8
2016,5,11,19,9.6,9.6
2016,5,11,20,9.9,9.9
2016,5,11,21,9.8,9.8
2016,5,11,22,8.9,8.9
2016,5,11,23,6.1,6.1
2016,5,12,0,4.5,4.5
2016,5,12,1,3.6,3.6
2016,5,12,2,3.1,3.1
2016,5,12,3,3.1,3.1
2016,5,12,4,3.0,3.1
2016,5,12,5,2.8,2.8
2016,5,12,6,3.1,3.1
2016,5,12,7,3.1,3.3
2016,5,12,8,4.1,4.1
2016,5,12,9,3.4,3.4
2016,5,12,10,2.0,2.0
2016,5,12,11,4.3,4.3
2016,5,12,12,5.5,5.5
2016,5,12,13,6.0,6.0
2016,5,12,14,6.1,6.1
2016,5,12,15,6.1,6.1
2016,5,12,16,6.4,6.5
2016,5,12,17,6.9,6.9
2016,5,12,18,7.8,7.8
2016,5,12,19,8.8,8.8
2016,5,12,20,8.3,8.3
2016,5,12,21,7.1,7.1
2016,5,12,22,5.7,5.7
2016,5,12,23,4.4,4.4
2016,5,13,0,3.7,3.7
2016,5,13,1,4.1,4.1
2016,5,13,2,4.1,4.1
2016,5,13,3,4.0,4.0
2016,5,13,4,3.5,3.5
2016,5,13,5,3.8,3.8
2016,5,13,6,3.9,3.6
2016,5,13,7,3.7,3.2
2016,5,13,8,3.1,3.4
2016,5,13,9,2.2,2.2
2016,5,13,10,C,C
2016,5,13,11,4.1,4.1
2016,5,13,12,5.3,5.3
2016,5,13,13,6.1,6.1
2016,5,13,14,5.7,5.7
2016,5,13,15,6.5,6.5
2016,5,13,16,6.9,6.9
2016,5,13,17,7.8,7.8
2016,5,13,18,7.1,7.4
2016,5,13,19,9.1,9.1
2016,5,13,20,9.9,9.9
2016,5,13,21,9.2,9.2
2016,5,13,22,8.5,8.5
2016,5,13,23,4.9,4.9
2016,5,14,0,4.7,4.7
2016,5,14,1,5.7,5.7
2016,5,14,2,6.2,6.4
2016,5,14,3,4.9,4.9
2016,5,14,4,3.0,3.0
2016,5,14,5,3.8,3.8
2016,5,14,6,4.1,4.1
2016,5,14,7,4.4,4.4
2016,5,14,8,4.3,4.3
2016,5,14,9,2.0,2.5
2016,5,14,10,2.2,2.2
2016,5,14,11,4.4,4.4
2016,5,14,12,6.8,6.8
2016,5,14,13,7.1,7.1
2016,5,14,14,7.0,7.0
2016,5,14,15,7.3,7.3
2016,5,14,16,6.6,6.6
2016,5,14,17,8.6,8.6
2016,5,14,18,9.3,9.3
2016,5,14,19,8.8,8.8
2016,5,14,20,C,C
2016,5,14,21,8.7,8.7
2016,5,14,22,10.9,10.9
2016,5,14,23,8.9,8.9
2016,5,15,0,6.9,6.9
2016,5,15,1,7.5,7.5
2016,5,15,2,C,C
2016,5,15,3,5.1,5.5
2016,5,15,4,4.7,4.5
2016,5,15,5,4.1,4.1
2016,5,15,6,4.0,4.0
2016,5,15,7,4.3,4.3
2016,5,15,8,3.5,3.5
2016,5,15,9,C,1.9
2016,5,15,10,2.3,2.3
2016,5,15,11,5.1,5.1
2016,5,15,12,6.3,6.3
2016,5,15,13,6.9,6.9
2016,5,15,14,7.3,7.3
2016,5,15,15,8.3,8.3
2016,5,15,16,7.4,7.4
2016,5,15,17,7.7,7.3
2016,5,15,18,7.9,7.9
2016,5,15,19,7.9,7.9
2016,5,15,20,8.3,8.1
2016,5,15,21,7.4,7.4
2016,5,15,22,5.9,5.9
2016,5,15,23,5.9,5.9
2016,5,16,0,4.6,4.7
2016,5,16,1,5.3,5.3
2016,5,16,2,5.6,5.6
2016,5,16,3,5.4,5.4
2016,5,16,4,5.6,5.6
2016,5,16,5,5.8,5.8
2016,5,16,6,5.5,5.5
2016,5,16,7,3.8,3.8
2016,5,16,8,3.0,3.0
2016,5,16,9,C,C
2016,5,16,10,C,C
2016,5,16,11,4.0,4.0
2016,5,16,12,6.8,6.8
2016,5,16,13,6.6,6.7
2016,5,16,14,7.1,7.1
2016,5,16,15,7.6,7.6
2016,5,16,16,9.4,9.6
2016,5,16,17,7.4,7.4
2016,5,16,18,7.1,7.1
2016,5,16,19,8.0,8.3
2016,5,16,20,7.4,7.4
2016,5,16,21,8.1,8.1
2016,5,16,22,6.8,6.8
2016,5,16,23,5.9,5.9
2016,5,17,0,5.0,5.0
2016,5,17,1,5.2,5.2
2016,5,17,2,5.2,5.2
2016,5,17,3,4.6,4.6
2016,5,17,4,4.1,4.1
2016,5,17,5,3.7,3.7
2016,5,17,6,3.2,3.2
2016,5,17,7,3.0,3.0
2016,5,17,8,3.2,3.2
2016,5,17,9,C,C
2016,5,17,10,C,C
2016,5,17,11,4.1,4.1
2016,5,17,12,6.4,6.4
2016,5,17,13,6.3,6.3
2016,5,17,14,6.6,6.6
2016,5,17,15,8.9,8.9
2016,5,17,16,11.1,11.1
2016,5,17,17,12.4,12.4
2016,5,17,18,13.8,13.8
2016,5,17,19,C,C
2016,5,17,20,13.3,13.3
2016,5,17,21,13.6,13.6
2016,5,17,22,9.3,9.1
2016,5,17,23,6.0,6.0
2016,5,18,0,5.2,5.2
2016,5,18,1,6.6,6.6
2016,5,18,2,4.7,4.7
2016,5,18,3,4.2,4.2
2016,5,18,4,4.4,4.4
2016,5,18,5,4.1,4.1
2016,5,18,6,3.8,3.8
2016,5,18,7,4.3,4.3
2016,5,18,8,5.8,5.6
2016,5,18,9,2.5,2.5
2016,5,18,10,2.2,2.2
2016,5,18,11,3.8,3.8
2016,5,18,12,6.3,6.3
2016,5,18,13,8.8,8.8
2016,5,18,14,8.3,8.3
2016,5,18,15,8.8,8.8
2016,5,18,16,C,C
2016,5,18,17,C,C
2016,5,18,18,C,C
2016,5,18,19,7.2,7.4
2016,5,18,20,7.8,7.8
2016,5,18,21,6.3,6.3
2016,5,18,22,5.3,5.1
2016,5,18,23,4.3,4.3
2016,5,19,0,3.4,3.8
2016,5,19,1,4.4,4.4
2016,5,19,2,4.1,4.1
2016,5,19,3,3.6,3.6
2016,5,19,4,3.4,3.4
2016,5,19,5,3.4,3.4
2016,5,19,6,3.2,3.2
2016,5,19,7,3.4,3.4
2016,5,19,8,3.5,3.5
2016,5,19,9,C,C
2016,5,19,10,2.1,2.1
2016,5,19,11,3.8,3.8
2016,5,19,12,5.7,5.7
2016,5,19,13,7.6,7.6
2016,5,19,14,8.3,8.3
2016,5,19,15,8.8,8.8
2016,5,19,16,8.1,8.1
2016,5,19,17,11.1,11.1
2016,5,19,18,9.6,9.6
2016,5,19,19,9.1,9.1
2016,5,19,20,8.3,8.3
2016,5,19,21,7.7,7.7
2016,5,19,22,7.6,7.6
2016,5,19,23,5.9,5.9
2016,5,20,0,4.2,4.2
2016,5,20,1,4.4,4.4
2016,5,20,2,4.5,4.5
2016,5,20,3,4.5,4.5
2016,5,20,4,3.8,3.8
2016,5,20,5,3.6,3.6
2016,5,20,6,3.8,3.8
2016,5,20,7,3.4,3.4
2016,5,20,8,2.4,2.4
2016,5,20,9,C,C
2016,5,20,10,C,C
2016,5,20,11,3.4,3.4
2016,5,20,12,6.0,6.0
2016,5,20,13,6.8,6.8
2016,5,20,14,8.4,8.4
2016,5,20,15,8.9,8.9
2016,5,20,16,9.1,9.1
2016,5,20,17,8.9,8.9
2016,5,20,18,7.8,7.8
2016,5,20,19,6.7,6.7
2016,5,20,20,6.8,6.8
2016,5,20,21,5.5,5.5
2016,5,20,22,5.3,5.3
2016,5,20,23,4.5,4.5
2016,5,21,0,4.3,4.3
2016,5,21,1,4.4,4.4
2016,5,21,2,4.4,4.2
2016,5,21,3,4.5,4.5
2016,5,21,4,4.3,4.3
2016,5,21,5,4.4,4.4
2016,5,21,6,4.3,4.3
2016,5,21,7,3.6,3.6
2016,5,21,8,4.3,4.3
2016,5,21,9,2.0,2.6
2016,5,21,10,2.0,2.1
2016,5,21,11,4.1,4.1
2016,5,21,12,5.9,5.9
2016,5,21,13,5.4,5.4
2016,5,21,14,5.7,5.7
2016,5,21,15,7.5,7.5
2016,5,21,16,9.4,9.4
