year,month,day,time,foF2,foF2_
2016,4,1,0,C,C
2016,4,1,1,C,C
2016,4,1,2,C,C
2016,4,1,3,C,C
2016,4,1,4,C,C
2016,4,1,5,C,C
2016,4,1,6,C,C
2016,4,1,7,C,C
2016,4,1,8,C,C
2016,4,1,9,2.2,2.5
2016,4,1,10,2.5,2.2
2016,4,1,11,4.9,4.9
2016,4,1,12,C,C
2016,4,1,13,7.9,7.9
2016,4,1,14,9.6,9.6
2016,4,1,15,10.5,10.5
2016,4,1,16,11.3,11.3
2016,4,1,17,12.1,12.1
2016,4,1,18,C,13.7
2016,4,1,19,15.4,15.1
2016,4,1,20,16.0,16.0
2016,4,1,21,15.7,15.7
2016,4,1,22,14.8,14.5
2016,4,1,23,13.6,13.6
2016,4,2,0,12.3,12.1
2016,4,2,1,11.5,11.4
2016,4,2,2,10.8,10.8
2016,4,2,3,9.7,9.7
2016,4,2,4,9.2,8.8
2016,4,2,5,C,7.8
2016,4,2,6,C,9.0
2016,4,2,7,C,10.2
2016,4,2,8,5.8,5.8
2016,4,2,9,2.9,2.9
2016,4,2,10,2.6,2.6
2016,4,2,11,5.1,5.1
2016,4,2,12,6.6,6.6
2016,4,2,13,6.4,6.4
2016,4,2,14,7.1,7.1
2016,4,2,15,7.5,7.5
2016,4,2,16,9.1,9.0
2016,4,2,17,10.1,10.1
2016,4,2,18,11.6,11.6
2016,4,2,19,12.0,12.0
2016,4,2,20,11.2,11.0
2016,4,2,21,12.8,12.8
2016,4,2,22,13.3,13.3
2016,4,2,23,9.2,9.4
2016,4,3,0,12.0,11.6
2016,4,3,1,C,C
2016,4,3,2,9.2,9.0
2016,4,3,3,10.4,10.1
2016,4,3,4,9.5,9.5
2016,4,3,5,8.6,8.6
2016,4,3,6,5.0,5.0
2016,4,3,7,4.9,4.9
2016,4,3,8,3.5,3.8
2016,4,3,9,3.5,4.0
2016,4,3,10,C,C
2016,4,3,11,6.2,6.0
2016,4,3,12,7.0,7.0
2016,4,3,13,6.8,6.8
2016,4,3,14,8.0,8.0
2016,4,3,15,10.1,10.1
2016,4,3,16,11.3,11.3
2016,4,3,17,C,11.7
2016,4,3,18,C,11.1
2016,4,3,19,C,11.8
2016,4,3,20,13.4,13.4
2016,4,3,21,14.2,14.0
2016,4,3,22,14.6,14.6
2016,4,3,23,14.4,14.4
2016,4,4,0,14.1,14.1
2016,4,4,1,10.5,10.5
2016,4,4,2,8.7,8.7
2016,4,4,3,8.4,8.2
2016,4,4,4,5.8,5.8
2016,4,4,5,4.8,4.8
2016,4,4,6,4.3,4.3
2016,4,4,7,5.4,5.4
2016,4,4,8,4.8,4.8
2016,4,4,9,2.4,2.4
2016,4,4,10,2.4,2.4
2016,4,4,11,5.0,5.0
2016,4,4,12,7.9,7.8
2016,4,4,13,9.3,9.3
2016,4,4,14,10.9,10.9
2016,4,4,15,13.2,13.1
2016,4,4,16,14.3,14.3
2016,4,4,17,14.2,14.2
2016,4,4,18,14.2,14.2
2016,4,4,19,C,14.9
2016,4,4,20,15.1,15.1
2016,4,4,21,13.9,13.9
2016,4,4,22,11.8,11.8
2016,4,4,23,10.1,10.1
2016,4,5,0,8.8,8.8
2016,4,5,1,7.6,7.6
2016,4,5,2,7.1,7.1
2016,4,5,3,6.5,6.5
2016,4,5,4,6.4,6.4
2016,4,5,5,5.5,5.5
2016,4,5,6,5.0,5.0
2016,4,5,7,4.8,4.8
2016,4,5,8,3.4,3.4
2016,4,5,9,3.4,3.4
2016,4,5,10,2.9,2.9
2016,4,5,11,5.4,5.4
2016,4,5,12,7.5,7.5
2016,4,5,13,8.0,8.0
