year,month,day,time,foF2,foF2_
2016,3,1,0,10.0,10.2
2016,3,1,1,8.9,8.9
2016,3,1,2,6.9,6.9
2016,3,1,3,5.8,5.8
2016,3,1,4,5.6,5.6
2016,3,1,5,5.6,5.6
2016,3,1,6,6.8,6.6
2016,3,1,7,5.3,5.3
2016,3,1,8,3.6,3.8
2016,3,1,9,2.9,2.9
2016,3,1,10,3.1,3.1
2016,3,1,11,6.1,6.1
2016,3,1,12,6.6,6.6
2016,3,1,13,6.8,6.8
2016,3,1,14,7.5,7.5
2016,3,1,15,9.0,9.0
2016,3,1,16,10.2,10.2
2016,3,1,17,11.3,11.3
2016,3,1,18,11.2,11.0
2016,3,1,19,11.5,11.5
2016,3,1,20,12.6,12.6
2016,3,1,21,13.3,13.3
2016,3,1,22,13.6,13.6
2016,3,1,23,13.1,13.1
2016,3,2,0,12.3,12.0
2016,3,2,1,C,13.0
2016,3,2,2,C,10.4
2016,3,2,3,9.8,9.7
2016,3,2,4,9.5,9.5
2016,3,2,5,10.9,11.5
2016,3,2,6,6.4,6.4
2016,3,2,7,4.4,4.4
2016,3,2,8,4.7,4.7
2016,3,2,9,4.7,4.7
2016,3,2,10,4.0,4.2
2016,3,2,11,6.0,6.0
2016,3,2,12,7.8,7.8
2016,3,2,13,10.1,10.1
2016,3,2,14,9.6,9.6
2016,3,2,15,9.8,9.8
2016,3,2,16,10.6,10.6
2016,3,2,17,11.1,11.1
2016,3,2,18,11.6,11.6
2016,3,2,19,11.9,12.0
2016,3,2,20,11.9,11.9
2016,3,2,21,13.0,13.0
2016,3,2,22,13.1,13.1
2016,3,2,23,15.7,15.7
2016,3,3,0,15.5,14.9
2016,3,3,1,15.1,15.1
2016,3,3,2,14.4,13.8
2016,3,3,3,C,11.1
2016,3,3,4,10.6,10.9
2016,3,3,5,9.2,9.1
2016,3,3,6,9.5,9.5
2016,3,3,7,9.2,9.2
2016,3,3,8,7.1,7.4
2016,3,3,9,5.4,5.4
2016,3,3,10,3.9,3.9
2016,3,3,11,6.1,6.1
