year,month,day,time,foF2,foF2_
2016,2,1,0,C,8.0
2016,2,1,1,8.5,8.5
2016,2,1,2,7.1,7.1
2016,2,1,3,6.8,6.8
2016,2,1,4,6.3,6.5
2016,2,1,5,6.3,6.0
2016,2,1,6,C,6.1
2016,2,1,7,5.9,6.0
2016,2,1,8,6.0,6.0
2016,2,1,9,5.9,5.7
2016,2,1,10,6.9,6.9
2016,2,1,11,7.3,7.3
2016,2,1,12,6.7,6.7
2016,2,1,13,7.1,7.1
2016,2,1,14,7.2,7.6
2016,2,1,15,8.9,8.9
2016,2,1,16,9.8,9.8
2016,2,1,17,10.8,10.8
2016,2,1,18,11.3,11.3
2016,2,1,19,11.2,11.2
2016,2,1,20,11.1,11.1
2016,2,1,21,10.4,10.4
2016,2,1,22,10.2,10.2
2016,2,1,23,11.1,11.1
2016,2,2,0,C,11.5
2016,2,2,1,11.9,11.7
2016,2,2,2,C,11.5
2016,2,2,3,10.5,10.5
2016,2,2,4,9.9,9.9
2016,2,2,5,9.3,9.3
2016,2,2,6,9.0,9.0
2016,2,2,7,8.1,8.1
2016,2,2,8,6.8,6.8
2016,2,2,9,5.9,5.8
2016,2,2,10,5.3,5.1
2016,2,2,11,C,7.0
2016,2,2,12,7.8,7.8
2016,2,2,13,7.3,7.5
2016,2,2,14,8.2,8.0
2016,2,2,15,8.6,8.6
2016,2,2,16,9.6,9.6
2016,2,2,17,10.5,10.5
2016,2,2,18,11.4,11.4
2016,2,2,19,C,11.7
2016,2,2,20,12.6,12.0
2016,2,2,21,C,10.5
2016,2,2,22,10.1,10.1
2016,2,2,23,10.0,9.8
2016,2,3,0,8.7,8.7
2016,2,3,1,7.7,7.7
2016,2,3,2,7.2,7.2
2016,2,3,3,7.4,7.4
2016,2,3,4,7.2,7.2
2016,2,3,5,7.0,7.0
2016,2,3,6,7.0,7.0
2016,2,3,7,6.8,7.3
2016,2,3,8,7.0,7.7
2016,2,3,9,6.8,6.5
2016,2,3,10,5.4,5.4
2016,2,3,11,6.2,6.2
2016,2,3,12,6.8,6.8
2016,2,3,13,7.1,7.1
2016,2,3,14,8.3,8.3
2016,2,3,15,9.6,9.6
2016,2,3,16,10.8,10.8
2016,2,3,17,11.7,11.7
2016,2,3,18,11.7,11.7
2016,2,3,19,C,12.1
2016,2,3,20,12.3,12.3
2016,2,3,21,13.0,12.8
2016,2,3,22,13.5,13.5
2016,2,3,23,14.5,14.5
2016,2,4,0,16.4,16.4
2016,2,4,1,C,C
2016,2,4,2,15.7,15.4
2016,2,4,3,C,C
2016,2,4,4,18.2,13.7
2016,2,4,5,C,C
2016,2,4,6,10.8,10.8
2016,2,4,7,7.8,7.8
2016,2,4,8,6.5,6.5
2016,2,4,9,5.9,5.9
2016,2,4,10,6.1,6.1
2016,2,4,11,6.8,6.8
2016,2,4,12,7.2,7.0
2016,2,4,13,7.3,7.3
2016,2,4,14,8.0,8.0
2016,2,4,15,8.3,8.5
2016,2,4,16,9.0,8.9
2016,2,4,17,9.7,9.7
2016,2,4,18,10.4,10.4
2016,2,4,19,11.5,11.5
2016,2,4,20,12.7,12.7
2016,2,4,21,12.3,12.3
2016,2,4,22,11.5,11.5
2016,2,4,23,10.0,10.0
2016,2,5,0,9.4,9.4
2016,2,5,1,8.7,8.7
2016,2,5,2,C,C
2016,2,5,3,9.0,9.3
2016,2,5,4,C,C
2016,2,5,5,C,C
2016,2,5,6,C,8.8
2016,2,5,7,C,8.3
2016,2,5,8,6.4,6.7
2016,2,5,9,6.3,6.1
2016,2,5,10,6.8,6.3
2016,2,5,11,6.6,6.6
2016,2,5,12,6.8,6.8
2016,2,5,13,7.6,8.3
2016,2,5,14,9.3,9.3
2016,2,5,15,9.9,9.9
2016,2,5,16,C,10.6
2016,2,5,17,11.5,11.5
2016,2,5,18,12.4,12.4
2016,2,5,19,12.0,12.0
2016,2,5,20,10.5,10.5
2016,2,5,21,10.7,10.7
2016,2,5,22,10.1,10.1
2016,2,5,23,9.8,9.8
2016,2,6,0,8.7,8.7
2016,2,6,1,8.3,8.3
2016,2,6,2,C,C
2016,2,6,3,C,C
2016,2,6,4,C,C
2016,2,6,5,C,C
2016,2,6,6,C,C
2016,2,6,7,C,C
2016,2,6,8,C,C
2016,2,6,9,C,C
2016,2,6,10,C,C
2016,2,6,11,C,C
2016,2,6,12,C,C
2016,2,6,13,C,C
2016,2,6,14,C,C
2016,2,6,15,C,C
2016,2,6,16,C,C
2016,2,6,17,C,C
2016,2,6,18,C,C
2016,2,6,19,C,C
2016,2,6,20,C,C
2016,2,6,21,C,C
2016,2,6,22,C,C
2016,2,6,23,C,C
2016,2,7,0,C,C
2016,2,7,1,C,C
2016,2,7,2,C,C
2016,2,7,3,C,C
2016,2,7,4,C,C
2016,2,7,5,C,C
2016,2,7,6,C,C
2016,2,7,7,C,C
2016,2,7,8,C,C
2016,2,7,9,C,C
2016,2,7,10,C,C
2016,2,7,11,C,C
2016,2,7,12,C,C
2016,2,7,13,C,C
2016,2,7,14,C,C
2016,2,7,15,C,C
2016,2,7,16,C,C
2016,2,7,17,C,C
2016,2,7,18,C,C
2016,2,7,19,C,C
2016,2,7,20,C,C
2016,2,7,21,C,C
2016,2,7,22,C,C
2016,2,7,23,C,C
2016,2,8,0,C,C
2016,2,8,1,C,C
2016,2,8,2,C,C
2016,2,8,3,C,C
2016,2,8,4,C,C
2016,2,8,5,C,C
2016,2,8,6,C,C
2016,2,8,7,C,C
2016,2,8,8,C,C
2016,2,8,9,C,C
2016,2,8,10,C,C
2016,2,8,11,C,C
2016,2,8,12,C,C
2016,2,8,13,C,C
2016,2,8,14,C,C
2016,2,8,15,C,C
2016,2,8,16,C,C
2016,2,8,17,C,C
2016,2,8,18,C,C
2016,2,8,19,C,C
2016,2,8,20,C,C
2016,2,8,21,C,C
2016,2,8,22,C,C
2016,2,8,23,C,C
2016,2,9,0,C,C
2016,2,9,1,C,C
2016,2,9,2,C,C
2016,2,9,3,C,C
2016,2,9,4,C,C
2016,2,9,5,C,C
2016,2,9,6,C,C
2016,2,9,7,C,C
2016,2,9,8,C,C
2016,2,9,9,C,C
2016,2,9,10,C,C
2016,2,9,11,C,C
2016,2,9,12,C,C
2016,2,9,13,C,C
2016,2,9,14,C,C
2016,2,9,15,C,C
2016,2,9,16,C,C
2016,2,9,17,C,C
2016,2,9,18,C,C
