year,month,day,time,foF2,foF2_
2016,10,1,0,9.2,9.0
2016,10,1,1,7.9,7.8
2016,10,1,2,5.9,5.9
2016,10,1,3,5.0,5.0
2016,10,1,4,5.0,4.7
2016,10,1,5,5.7,5.7
2016,10,1,6,7.6,7.5
2016,10,1,7,5.8,5.8
2016,10,1,8,3.9,3.9
2016,10,1,9,C,4.0
2016,10,1,10,4.0,4.0
2016,10,1,11,5.3,5.3
2016,10,1,12,6.8,6.8
2016,10,1,13,7.5,7.5
2016,10,1,14,8.6,8.6
2016,10,1,15,9.9,9.9
2016,10,1,16,11.3,11.2
2016,10,1,17,12.8,12.8
2016,10,1,18,13.1,13.1
2016,10,1,19,12.3,12.3
2016,10,1,20,12.7,12.7
2016,10,1,21,13.0,13.0
2016,10,1,22,14.1,13.9
2016,10,1,23,15.2,15.0
2016,10,2,0,12.8,12.5
2016,10,2,1,11.5,11.5
2016,10,2,2,10.6,9.5
2016,10,2,3,8.6,8.6
2016,10,2,4,C,C
2016,10,2,5,C,C
2016,10,2,6,8.8,8.7
2016,10,2,7,7.8,7.8
2016,10,2,8,3.1,3.4
2016,10,2,9,3.0,3.0
2016,10,2,10,3.8,3.8
2016,10,2,11,6.1,6.2
2016,10,2,12,6.4,6.4
2016,10,2,13,7.8,7.8
2016,10,2,14,9.6,9.6
2016,10,2,15,11.1,11.1
2016,10,2,16,12.4,12.4
2016,10,2,17,12.5,12.2
2016,10,2,18,12.7,12.7
2016,10,2,19,13.8,13.6
2016,10,2,20,12.7,12.7
2016,10,2,21,9.0,8.9
2016,10,2,22,7.4,7.4
2016,10,2,23,7.4,7.4
2016,10,3,0,6.8,6.6
2016,10,3,1,5.1,5.1
2016,10,3,2,5.8,5.8
2016,10,3,3,5.0,5.0
2016,10,3,4,4.6,4.5
2016,10,3,5,4.9,4.8
2016,10,3,6,5.0,5.1
2016,10,3,7,5.4,5.4
2016,10,3,8,3.5,3.6
2016,10,3,9,3.8,3.8
2016,10,3,10,4.7,4.5
2016,10,3,11,5.6,5.7
2016,10,3,12,6.3,6.3
2016,10,3,13,7.2,7.2
2016,10,3,14,9.1,9.1
2016,10,3,15,11.0,11.0
2016,10,3,16,12.7,12.7
2016,10,3,17,13.6,13.6
2016,10,3,18,14.5,14.5
2016,10,3,19,14.2,14.0
2016,10,3,20,14.6,14.6
2016,10,3,21,15.1,15.0
2016,10,3,22,13.6,13.4
2016,10,3,23,13.2,13.2
2016,10,4,0,10.7,10.5
2016,10,4,1,8.8,8.8
2016,10,4,2,8.4,8.4
2016,10,4,3,8.3,8.3
2016,10,4,4,6.8,6.8
2016,10,4,5,6.7,6.7
2016,10,4,6,8.3,8.1
2016,10,4,7,6.8,6.8
2016,10,4,8,5.9,5.9
2016,10,4,9,4.0,4.0
2016,10,4,10,4.4,4.4
2016,10,4,11,6.0,6.0
2016,10,4,12,8.1,8.1
2016,10,4,13,11.1,11.1
2016,10,4,14,9.1,9.1
2016,10,4,15,7.0,7.0
2016,10,4,16,8.2,8.0
2016,10,4,17,10.4,10.4
2016,10,4,18,11.6,11.6
2016,10,4,19,11.3,11.3
2016,10,4,20,11.1,11.1
2016,10,4,21,11.6,11.6
2016,10,4,22,11.6,11.6
2016,10,4,23,12.3,12.1
2016,10,5,0,10.7,10.7
2016,10,5,1,8.1,7.9
2016,10,5,2,8.3,8.0
2016,10,5,3,8.6,8.6
2016,10,5,4,7.5,7.5
2016,10,5,5,5.9,5.9
2016,10,5,6,4.6,4.6
2016,10,5,7,4.5,4.5
2016,10,5,8,4.4,4.4
2016,10,5,9,3.8,3.8
2016,10,5,10,4.7,4.7
2016,10,5,11,6.6,6.6
2016,10,5,12,7.8,7.8
2016,10,5,13,9.4,9.3
2016,10,5,14,8.6,8.6
2016,10,5,15,C,C
2016,10,5,16,C,C
2016,10,5,17,C,C
2016,10,5,18,C,C
2016,10,5,19,C,C
2016,10,5,20,C,C
2016,10,5,21,C,C
2016,10,5,22,11.0,11.0
2016,10,5,23,C,11.7
2016,10,6,0,10.1,9.7
2016,10,6,1,8.6,8.2
2016,10,6,2,6.7,6.7
2016,10,6,3,5.7,5.7
2016,10,6,4,4.9,4.9
2016,10,6,5,4.5,4.5
2016,10,6,6,4.8,4.7
2016,10,6,7,4.8,4.8
2016,10,6,8,3.1,3.4
2016,10,6,9,3.2,3.3
2016,10,6,10,4.0,4.0
2016,10,6,11,6.5,6.5
2016,10,6,12,6.8,6.7
2016,10,6,13,7.3,7.3
2016,10,6,14,8.5,8.5
2016,10,6,15,10.1,10.1
2016,10,6,16,12.0,12.0
2016,10,6,17,12.7,12.7
2016,10,6,18,13.2,13.2
2016,10,6,19,13.6,13.6
2016,10,6,20,13.1,13.1
2016,10,6,21,14.5,14.1
2016,10,6,22,13.0,12.8
2016,10,6,23,12.2,12.0
2016,10,7,0,11.1,11.0
2016,10,7,1,8.6,8.6
2016,10,7,2,7.7,7.5
2016,10,7,3,5.8,5.8
2016,10,7,4,5.2,5.2
2016,10,7,5,5.0,5.0
2016,10,7,6,5.4,5.4
2016,10,7,7,5.8,5.8
2016,10,7,8,2.6,2.6
2016,10,7,9,2.1,2.3
2016,10,7,10,3.8,3.8
2016,10,7,11,5.8,5.8
2016,10,7,12,7.3,7.4
2016,10,7,13,7.5,7.5
2016,10,7,14,8.3,8.3
2016,10,7,15,9.3,9.4
2016,10,7,16,10.9,10.9
2016,10,7,17,11.9,11.9
2016,10,7,18,12.9,12.9
2016,10,7,19,14.1,14.1
2016,10,7,20,15.2,15.0
2016,10,7,21,15.8,15.8
2016,10,7,22,14.1,14.1
2016,10,7,23,12.1,12.1
2016,10,8,0,10.3,10.3
2016,10,8,1,8.5,8.5
2016,10,8,2,7.1,7.1
2016,10,8,3,5.4,5.2
2016,10,8,4,5.4,5.2
2016,10,8,5,5.3,5.2
2016,10,8,6,5.4,5.4
2016,10,8,7,5.6,5.6
2016,10,8,8,2.8,2.8
2016,10,8,9,2.9,2.9
2016,10,8,10,4.3,4.3
2016,10,8,11,5.3,5.3
2016,10,8,12,6.0,6.0
2016,10,8,13,6.6,6.6
2016,10,8,14,7.2,7.2
2016,10,8,15,9.0,9.0
2016,10,8,16,10.6,10.6
2016,10,8,17,11.3,11.3
2016,10,8,18,11.3,11.3
2016,10,8,19,12.8,12.8
2016,10,8,20,14.2,14.2
2016,10,8,21,15.5,15.3
2016,10,8,22,14.7,14.7
2016,10,8,23,13.8,13.5
2016,10,9,0,12.0,12.0
2016,10,9,1,11.0,11.0
2016,10,9,2,9.3,9.3
2016,10,9,3,8.3,8.0
2016,10,9,4,7.3,7.1
2016,10,9,5,7.0,7.0
2016,10,9,6,8.2,8.2
2016,10,9,7,6.2,6.2
2016,10,9,8,4.5,4.5
2016,10,9,9,4.3,4.3
2016,10,9,10,5.0,5.0
2016,10,9,11,5.8,5.6
2016,10,9,12,6.0,6.0
2016,10,9,13,6.5,6.5
2016,10,9,14,6.8,6.8
2016,10,9,15,7.9,7.9
2016,10,9,16,9.5,9.5
2016,10,9,17,10.6,10.6
2016,10,9,18,11.2,11.2
2016,10,9,19,12.3,12.3
2016,10,9,20,13.6,13.6
2016,10,9,21,14.1,14.1
2016,10,9,22,13.3,13.3
2016,10,9,23,12.5,12.3
2016,10,10,0,13.2,13.2
2016,10,10,1,12.4,11.8
2016,10,10,2,9.7,9.3
2016,10,10,3,8.2,8.2
2016,10,10,4,7.2,7.2
2016,10,10,5,6.6,6.3
2016,10,10,6,7.2,7.2
2016,10,10,7,8.8,8.8
2016,10,10,8,6.0,6.0
2016,10,10,9,5.1,5.1
2016,10,10,10,5.4,5.8
2016,10,10,11,5.8,5.8
2016,10,10,12,6.3,6.4
2016,10,10,13,6.3,6.4
2016,10,10,14,6.8,6.8
2016,10,10,15,8.2,8.2
2016,10,10,16,10.1,10.1
2016,10,10,17,11.4,11.4
2016,10,10,18,11.1,11.1
2016,10,10,19,10.8,10.8
2016,10,10,20,11.7,11.7
2016,10,10,21,12.1,12.1
2016,10,10,22,14.2,14.0
2016,10,10,23,14.0,13.8
2016,10,11,0,12.1,12.1
2016,10,11,1,10.4,10.4
2016,10,11,2,8.6,8.6
2016,10,11,3,7.0,7.0
2016,10,11,4,6.3,6.0
2016,10,11,5,7.9,7.7
2016,10,11,6,8.9,8.9
2016,10,11,7,6.6,6.6
2016,10,11,8,3.3,3.3
2016,10,11,9,C,C
2016,10,11,10,4.3,4.3
2016,10,11,11,5.9,5.9
2016,10,11,12,7.3,7.3
2016,10,11,13,7.3,7.4
2016,10,11,14,8.5,8.5
2016,10,11,15,9.3,9.3
2016,10,11,16,9.9,9.9
2016,10,11,17,10.4,10.4
2016,10,11,18,11.6,11.6
2016,10,11,19,12.0,12.0
2016,10,11,20,13.3,13.3
2016,10,11,21,13.9,13.9
2016,10,11,22,13.1,13.1
2016,10,11,23,9.8,9.8
2016,10,12,0,10.7,10.5
2016,10,12,1,C,10.8
2016,10,12,2,7.7,7.3
2016,10,12,3,6.7,6.5
2016,10,12,4,6.4,6.4
2016,10,12,5,6.9,6.6
2016,10,12,6,7.0,7.0
2016,10,12,7,6.6,6.4
2016,10,12,8,4.3,4.3
2016,10,12,9,2.9,2.7
2016,10,12,10,4.2,4.2
2016,10,12,11,5.5,5.5
2016,10,12,12,7.0,7.0
2016,10,12,13,7.7,7.7
2016,10,12,14,8.0,8.0
2016,10,12,15,8.6,8.6
2016,10,12,16,10.3,10.3
2016,10,12,17,11.9,11.9
2016,10,12,18,13.3,13.3
2016,10,12,19,14.6,14.6
2016,10,12,20,15.1,15.1
2016,10,12,21,15.2,14.9
2016,10,12,22,15.1,15.1
2016,10,12,23,15.1,15.1
2016,10,13,0,13.8,13.8
2016,10,13,1,12.5,12.0
2016,10,13,2,12.0,11.8
2016,10,13,3,C,11.8
2016,10,13,4,C,C
2016,10,13,5,8.9,8.9
2016,10,13,6,9.8,9.8
2016,10,13,7,7.2,7.2
2016,10,13,8,5.2,5.2
2016,10,13,9,4.4,4.4
2016,10,13,10,5.5,5.5
2016,10,13,11,5.5,5.5
2016,10,13,12,7.5,7.5
2016,10,13,13,7.3,7.5
2016,10,13,14,8.7,8.7
2016,10,13,15,10.0,10.0
2016,10,13,16,11.3,11.3
2016,10,13,17,12.1,12.1
2016,10,13,18,13.0,13.0
2016,10,13,19,13.5,13.3
2016,10,13,20,14.5,14.5
2016,10,13,21,15.5,15.4
2016,10,13,22,16.6,16.3
2016,10,13,23,14.0,14.0
2016,10,14,0,12.6,12.6
2016,10,14,1,10.9,10.9
2016,10,14,2,9.6,9.6
2016,10,14,3,8.2,8.2
2016,10,14,4,7.2,7.2
2016,10,14,5,7.5,7.5
2016,10,14,6,8.4,8.4
2016,10,14,7,8.6,8.6
2016,10,14,8,6.6,6.6
2016,10,14,9,C,C
2016,10,14,10,C,C
2016,10,14,11,C,C
2016,10,14,12,C,C
2016,10,14,13,10.9,10.9
2016,10,14,14,C,11.7
2016,10,14,15,12.3,12.3
2016,10,14,16,13.1,13.1
2016,10,14,17,13.6,13.6
2016,10,14,18,12.6,12.6
2016,10,14,19,12.8,12.6
2016,10,14,20,14.7,14.7
2016,10,14,21,13.2,13.0
2016,10,14,22,12.1,12.1
2016,10,14,23,12.2,12.0
2016,10,15,0,12.9,12.7
2016,10,15,1,11.7,11.7
2016,10,15,2,10.3,10.3
2016,10,15,3,9.6,9.6
2016,10,15,4,7.8,7.8
2016,10,15,5,6.7,6.7
2016,10,15,6,6.4,6.4
2016,10,15,7,5.6,5.6
2016,10,15,8,3.1,3.4
2016,10,15,9,3.2,3.2
2016,10,15,10,4.1,4.1
2016,10,15,11,6.5,6.7
2016,10,15,12,8.2,8.2
2016,10,15,13,9.1,9.1
2016,10,15,14,9.0,9.0
2016,10,15,15,9.8,9.8
2016,10,15,16,11.6,11.6
2016,10,15,17,11.8,11.8
2016,10,15,18,11.8,11.8
2016,10,15,19,11.6,11.6
2016,10,15,20,11.3,11.3
2016,10,15,21,10.8,10.8
2016,10,15,22,10.2,10.2
2016,10,15,23,8.6,8.6
2016,10,16,0,8.0,8.0
2016,10,16,1,6.6,6.4
2016,10,16,2,5.5,5.5
2016,10,16,3,5.6,5.6
2016,10,16,4,6.1,5.9
2016,10,16,5,6.3,6.3
2016,10,16,6,5.1,5.1
2016,10,16,7,3.2,3.2
2016,10,16,8,3.3,3.3
2016,10,16,9,3.1,3.1
2016,10,16,10,4.6,4.7
2016,10,16,11,6.4,6.6
2016,10,16,12,7.4,7.4
2016,10,16,13,8.0,8.0
2016,10,16,14,9.3,9.3
2016,10,16,15,10.7,10.7
2016,10,16,16,C,12.5
2016,10,16,17,13.7,13.7
2016,10,16,18,14.6,14.6
2016,10,16,19,14.9,14.9
2016,10,16,20,14.8,14.8
2016,10,16,21,13.4,13.4
2016,10,16,22,13.8,13.9
2016,10,16,23,13.3,13.3
2016,10,17,0,10.5,10.5
2016,10,17,1,9.3,9.3
2016,10,17,2,8.9,8.9
2016,10,17,3,9.2,9.2
2016,10,17,4,7.4,7.4
2016,10,17,5,6.2,6.2
2016,10,17,6,6.0,6.0
2016,10,17,7,6.3,6.3
2016,10,17,8,5.2,5.2
2016,10,17,9,4.0,4.0
2016,10,17,10,5.3,5.3
2016,10,17,11,5.4,5.4
2016,10,17,12,6.4,6.4
2016,10,17,13,8.6,8.7
2016,10,17,14,9.1,9.1
2016,10,17,15,9.1,9.1
2016,10,17,16,10.6,10.6
2016,10,17,17,C,12.4
2016,10,17,18,13.4,13.4
2016,10,17,19,13.5,13.5
2016,10,17,20,12.2,12.2
2016,10,17,21,12.2,11.8
2016,10,17,22,12.6,12.6
2016,10,17,23,13.0,13.0
2016,10,18,0,C,12.0
2016,10,18,1,10.8,10.8
2016,10,18,2,9.0,9.0
2016,10,18,3,8.1,8.1
2016,10,18,4,7.9,7.9
2016,10,18,5,7.4,7.0
2016,10,18,6,6.9,6.9
2016,10,18,7,6.9,7.0
2016,10,18,8,4.5,4.5
2016,10,18,9,2.9,3.0
2016,10,18,10,4.3,4.3
2016,10,18,11,6.6,6.6
2016,10,18,12,7.9,7.9
2016,10,18,13,7.8,7.8
2016,10,18,14,8.2,8.2
2016,10,18,15,9.1,9.1
2016,10,18,16,10.8,10.8
2016,10,18,17,12.9,12.9
2016,10,18,18,14.1,13.7
2016,10,18,19,14.6,14.2
2016,10,18,20,15.5,15.2
2016,10,18,21,15.8,15.8
2016,10,18,22,14.6,14.6
2016,10,18,23,12.3,12.3
2016,10,19,0,10.8,10.8
2016,10,19,1,10.1,10.1
2016,10,19,2,10.2,10.0
2016,10,19,3,C,C
2016,10,19,4,8.9,8.9
2016,10,19,5,C,C
2016,10,19,6,8.1,7.3
2016,10,19,7,7.2,6.3
2016,10,19,8,4.9,4.9
2016,10,19,9,3.8,3.8
2016,10,19,10,4.3,4.3
2016,10,19,11,5.6,5.6
2016,10,19,12,7.3,7.3
2016,10,19,13,7.5,7.5
2016,10,19,14,7.7,7.7
2016,10,19,15,8.8,8.8
2016,10,19,16,10.3,10.3
2016,10,19,17,12.2,12.0
2016,10,19,18,13.3,13.1
2016,10,19,19,14.2,14.2
2016,10,19,20,15.1,14.9
2016,10,19,21,15.6,15.4
2016,10,19,22,14.4,14.4
2016,10,19,23,12.1,12.1
2016,10,20,0,10.6,10.6
2016,10,20,1,8.5,8.5
2016,10,20,2,7.6,7.6
2016,10,20,3,7.6,7.2
2016,10,20,4,6.6,6.9
2016,10,20,5,4.8,4.5
2016,10,20,6,7.0,6.0
2016,10,20,7,5.3,4.8
2016,10,20,8,2.4,2.4
2016,10,20,9,C,C
2016,10,20,10,4.4,4.3
2016,10,20,11,5.1,5.1
2016,10,20,12,5.9,5.9
2016,10,20,13,6.4,6.4
2016,10,20,14,6.3,6.3
2016,10,20,15,7.5,7.5
2016,10,20,16,9.1,9.1
2016,10,20,17,10.6,10.6
2016,10,20,18,12.1,12.1
2016,10,20,19,13.1,13.1
2016,10,20,20,12.1,12.1
2016,10,20,21,12.0,11.3
2016,10,20,22,11.4,11.4
2016,10,20,23,12.1,12.1
2016,10,21,0,11.0,10.6
2016,10,21,1,6.5,6.5
2016,10,21,2,4.8,4.8
2016,10,21,3,4.5,4.5
2016,10,21,4,4.4,4.4
2016,10,21,5,4.0,4.1
2016,10,21,6,4.1,4.1
2016,10,21,7,3.8,3.5
2016,10,21,8,4.0,3.7
2016,10,21,9,3.8,3.8
2016,10,21,10,C,4.5
2016,10,21,11,5.1,5.1
2016,10,21,12,5.5,5.5
2016,10,21,13,5.6,5.6
2016,10,21,14,5.9,5.9
2016,10,21,15,7.1,7.1
2016,10,21,16,8.6,8.6
2016,10,21,17,9.8,9.8
2016,10,21,18,10.9,10.9
2016,10,21,19,11.9,11.9
2016,10,21,20,12.9,12.9
2016,10,21,21,14.1,14.1
2016,10,21,22,14.4,14.4
2016,10,21,23,14.6,14.6
2016,10,22,0,12.6,12.6
2016,10,22,1,9.7,9.5
2016,10,22,2,8.9,8.5
2016,10,22,3,7.2,6.7
2016,10,22,4,6.3,6.3
2016,10,22,5,5.8,5.8
2016,10,22,6,5.8,5.8
2016,10,22,7,5.8,5.8
2016,10,22,8,5.0,5.0
2016,10,22,9,3.9,3.9
2016,10,22,10,5.0,5.0
2016,10,22,11,5.1,5.1
2016,10,22,12,5.7,5.7
2016,10,22,13,6.1,6.1
2016,10,22,14,6.9,6.9
2016,10,22,15,7.9,7.9
2016,10,22,16,8.8,8.8
2016,10,22,17,9.4,9.4
2016,10,22,18,10.3,10.3
2016,10,22,19,11.5,11.5
2016,10,22,20,12.5,12.5
2016,10,22,21,13.3,13.3
2016,10,22,22,14.2,14.2
2016,10,22,23,12.9,12.9
2016,10,23,0,9.8,9.7
2016,10,23,1,5.7,5.5
2016,10,23,2,4.3,4.3
2016,10,23,3,3.8,3.8
2016,10,23,4,C,4.0
2016,10,23,5,4.0,4.0
2016,10,23,6,4.1,3.5
2016,10,23,7,3.9,3.9
2016,10,23,8,3.4,3.4
2016,10,23,9,2.4,2.4
2016,10,23,10,4.3,4.3
2016,10,23,11,6.1,6.1
2016,10,23,12,5.6,5.6
2016,10,23,13,5.5,5.5
2016,10,23,14,6.2,6.2
2016,10,23,15,7.8,7.5
2016,10,23,16,8.8,8.8
2016,10,23,17,9.9,9.9
2016,10,23,18,11.0,11.0
2016,10,23,19,11.3,11.3
2016,10,23,20,12.3,12.3
2016,10,23,21,12.6,12.6
2016,10,23,22,15.0,15.0
2016,10,23,23,13.8,13.8
2016,10,24,0,10.3,10.3
2016,10,24,1,7.6,7.3
2016,10,24,2,6.6,6.6
2016,10,24,3,5.8,5.8
2016,10,24,4,6.2,5.8
2016,10,24,5,5.6,5.6
2016,10,24,6,5.8,5.8
2016,10,24,7,5.9,5.9
2016,10,24,8,5.8,5.8
2016,10,24,9,5.4,5.0
2016,10,24,10,5.6,5.6
2016,10,24,11,5.6,5.8
2016,10,24,12,6.3,6.3
2016,10,24,13,6.3,6.3
2016,10,24,14,6.9,6.9
2016,10,24,15,8.1,8.1
2016,10,24,16,9.6,9.6
2016,10,24,17,11.6,11.6
2016,10,24,18,11.4,11.4
2016,10,24,19,10.8,10.8
2016,10,24,20,11.4,11.4
2016,10,24,21,12.7,12.5
2016,10,24,22,C,12.8
2016,10,24,23,13.2,12.9
2016,10,25,0,13.1,12.8
2016,10,25,1,C,12.7
2016,10,25,2,C,11.5
2016,10,25,3,C,C
2016,10,25,4,C,C
2016,10,25,5,C,C
2016,10,25,6,C,10.4
2016,10,25,7,C,7.0
2016,10,25,8,7.0,6.0
2016,10,25,9,5.6,5.8
2016,10,25,10,5.3,5.3
2016,10,25,11,5.4,5.4
2016,10,25,12,6.3,6.3
2016,10,25,13,8.1,8.1
2016,10,25,14,8.7,8.7
2016,10,25,15,8.8,8.8
2016,10,25,16,10.0,10.0
2016,10,25,17,11.6,11.6
2016,10,25,18,12.8,12.8
2016,10,25,19,12.7,12.7
2016,10,25,20,11.6,11.6
2016,10,25,21,12.6,12.6
2016,10,25,22,13.0,13.0
2016,10,25,23,13.0,13.0
2016,10,26,0,12.7,12.3
2016,10,26,1,8.6,8.6
2016,10,26,2,7.7,7.7
2016,10,26,3,6.8,6.8
2016,10,26,4,6.6,6.6
2016,10,26,5,7.2,7.2
2016,10,26,6,7.0,7.0
2016,10,26,7,6.4,6.4
2016,10,26,8,5.7,5.7
2016,10,26,9,4.5,4.5
2016,10,26,10,4.9,4.9
2016,10,26,11,6.4,6.4
2016,10,26,12,C,C
2016,10,26,13,8.5,8.5
2016,10,26,14,7.8,7.8
2016,10,26,15,9.4,9.4
2016,10,26,16,11.2,11.2
