year,month,day,time,foF2,foF2_
2016,11,1,0,9.2,9.2
2016,11,1,1,7.8,7.8
2016,11,1,2,6.8,6.8
2016,11,1,3,6.0,6.0
2016,11,1,4,6.7,6.7
2016,11,1,5,7.1,7.1
2016,11,1,6,6.4,6.4
2016,11,1,7,7.8,7.8
2016,11,1,8,5.5,5.5
2016,11,1,9,2.4,2.4
2016,11,1,10,3.9,3.9
2016,11,1,11,5.1,5.3
2016,11,1,12,5.7,5.7
2016,11,1,13,6.7,6.8
2016,11,1,14,8.2,8.2
2016,11,1,15,9.1,9.2
2016,11,1,16,9.8,9.8
2016,11,1,17,10.7,10.7
2016,11,1,18,12.1,11.9
2016,11,1,19,12.7,12.6
2016,11,1,20,12.9,12.9
2016,11,1,21,11.9,11.9
2016,11,1,22,11.0,11.0
2016,11,1,23,10.6,10.6
2016,11,2,0,10.7,10.7
2016,11,2,1,10.8,10.8
2016,11,2,2,10.7,10.5
2016,11,2,3,C,11.0
2016,11,2,4,C,8.8
2016,11,2,5,8.9,8.9
2016,11,2,6,C,C
2016,11,2,7,7.3,7.3
2016,11,2,8,C,C
2016,11,2,9,C,C
2016,11,2,10,5.9,5.9
2016,11,2,11,5.6,5.6
2016,11,2,12,5.7,5.7
2016,11,2,13,6.8,6.8
2016,11,2,14,8.0,8.0
2016,11,2,15,8.8,8.8
2016,11,2,16,9.9,9.9
2016,11,2,17,11.0,11.0
2016,11,2,18,11.9,11.9
2016,11,2,19,13.1,13.1
2016,11,2,20,11.8,11.9
2016,11,2,21,10.3,10.3
2016,11,2,22,10.0,10.0
2016,11,2,23,9.6,9.6
2016,11,3,0,10.7,10.7
2016,11,3,1,9.7,9.9
2016,11,3,2,7.3,7.3
2016,11,3,3,6.6,6.8
2016,11,3,4,7.3,6.5
2016,11,3,5,C,C
2016,11,3,6,C,C
2016,11,3,7,C,C
2016,11,3,8,C,5.5
2016,11,3,9,5.2,5.2
2016,11,3,10,5.6,5.8
2016,11,3,11,5.6,5.6
2016,11,3,12,6.8,6.8
2016,11,3,13,7.9,7.9
2016,11,3,14,6.9,6.9
2016,11,3,15,8.8,8.8
2016,11,3,16,9.3,9.3
2016,11,3,17,9.9,9.9
2016,11,3,18,10.6,10.6
2016,11,3,19,10.2,10.2
2016,11,3,20,10.6,10.6
2016,11,3,21,10.6,10.6
2016,11,3,22,10.9,10.9
2016,11,3,23,10.6,10.6
2016,11,4,0,12.2,11.8
