year,month,day,time,foF2,foF2_
2016,1,1,0,10.7,10.7
2016,1,1,1,10.2,10.4
2016,1,1,2,9.2,9.2
2016,1,1,3,9.1,9.1
2016,1,1,4,9.2,9.2
2016,1,1,5,C,8.8
2016,1,1,6,C,8.4
2016,1,1,7,C,C
2016,1,1,8,C,C
2016,1,1,9,C,C
2016,1,1,10,6.0,6.0
2016,1,1,11,5.2,5.2
2016,1,1,12,4.9,4.9
2016,1,1,13,5.8,5.8
2016,1,1,14,6.6,6.8
2016,1,1,15,7.1,7.1
2016,1,1,16,7.7,7.9
2016,1,1,17,8.1,8.1
2016,1,1,18,8.6,8.6
2016,1,1,19,8.9,8.9
2016,1,1,20,7.9,7.9
2016,1,1,21,7.0,7.0
2016,1,1,22,7.0,7.0
2016,1,1,23,8.2,8.2
2016,1,2,0,9.5,9.5
2016,1,2,1,C,C
2016,1,2,2,C,C
2016,1,2,3,C,C
2016,1,2,4,C,C
2016,1,2,5,C,C
2016,1,2,6,C,C
2016,1,2,7,C,C
2016,1,2,8,C,C
2016,1,2,9,C,C
2016,1,2,10,C,C
2016,1,2,11,7.4,7.6
2016,1,2,12,6.9,7.6
2016,1,2,13,8.1,8.1
2016,1,2,14,8.3,8.3
2016,1,2,15,9.3,9.3
2016,1,2,16,9.9,10.0
2016,1,2,17,10.4,10.4
2016,1,2,18,10.8,10.8
2016,1,2,19,C,11.5
2016,1,2,20,C,11.8
2016,1,2,21,12.3,12.3
2016,1,2,22,12.7,12.5
2016,1,2,23,12.2,12.0
2016,1,3,0,10.0,10.0
2016,1,3,1,9.2,9.0
2016,1,3,2,8.9,8.9
2016,1,3,3,C,10.0
2016,1,3,4,C,9.1
2016,1,3,5,8.6,8.6
2016,1,3,6,8.0,8.0
2016,1,3,7,5.8,6.4
2016,1,3,8,5.3,5.3
2016,1,3,9,4.2,4.2
2016,1,3,10,5.7,5.7
2016,1,3,11,7.3,7.5
2016,1,3,12,8.3,8.5
2016,1,3,13,5.5,7.7
2016,1,3,14,5.8,8.3
2016,1,3,15,9.1,9.1
2016,1,3,16,9.8,9.8
2016,1,3,17,10.5,10.5
2016,1,3,18,9.9,9.9
2016,1,3,19,10.3,10.3
2016,1,3,20,10.9,10.9
2016,1,3,21,11.6,11.6
2016,1,3,22,11.8,11.8
2016,1,3,23,11.7,11.7
2016,1,4,0,9.7,9.5
2016,1,4,1,9.4,9.4
2016,1,4,2,9.0,9.0
2016,1,4,3,9.9,8.9
2016,1,4,4,8.9,8.9
2016,1,4,5,8.0,8.0
2016,1,4,6,8.0,8.0
2016,1,4,7,7.8,7.8
2016,1,4,8,6.3,6.4
2016,1,4,9,6.0,6.0
2016,1,4,10,5.9,5.9
2016,1,4,11,7.4,7.6
2016,1,4,12,8.0,8.0
2016,1,4,13,7.9,7.7
2016,1,4,14,8.4,8.1
2016,1,4,15,9.1,9.1
2016,1,4,16,9.8,9.8
2016,1,4,17,9.8,9.8
2016,1,4,18,10.3,10.3
2016,1,4,19,11.1,11.1
2016,1,4,20,11.8,11.8
2016,1,4,21,12.5,12.5
2016,1,4,22,C,12.0
2016,1,4,23,C,11.6
2016,1,5,0,11.1,11.1
2016,1,5,1,9.4,9.4
2016,1,5,2,7.5,7.5
2016,1,5,3,7.4,7.4
2016,1,5,4,7.6,7.6
2016,1,5,5,7.2,6.8
2016,1,5,6,6.9,6.9
2016,1,5,7,6.5,6.5
2016,1,5,8,6.0,6.0
2016,1,5,9,5.9,5.9
2016,1,5,10,7.0,7.0
2016,1,5,11,5.8,5.8
2016,1,5,12,6.2,6.2
2016,1,5,13,C,7.4
2016,1,5,14,8.3,8.3
2016,1,5,15,9.2,9.2
2016,1,5,16,10.2,10.2
2016,1,5,17,10.9,10.9
2016,1,5,18,11.4,11.4
2016,1,5,19,11.8,11.8
2016,1,5,20,11.2,11.2
2016,1,5,21,12.1,12.1
2016,1,5,22,11.8,11.8
2016,1,5,23,12.0,12.0
2016,1,6,0,10.8,10.8
2016,1,6,1,10.9,10.9
2016,1,6,2,C,10.4
2016,1,6,3,C,C
2016,1,6,4,C,C
2016,1,6,5,C,C
2016,1,6,6,10.6,10.6
2016,1,6,7,8.7,8.7
2016,1,6,8,5.5,5.7
2016,1,6,9,C,C
2016,1,6,10,6.4,6.4
2016,1,6,11,6.8,6.8
2016,1,6,12,C,C
2016,1,6,13,C,C
2016,1,6,14,C,C
2016,1,6,15,C,C
2016,1,6,16,C,C
2016,1,6,17,C,C
2016,1,6,18,C,C
2016,1,6,19,C,C
2016,1,6,20,C,C
2016,1,6,21,C,C
2016,1,6,22,C,C
2016,1,6,23,C,C
2016,1,7,0,C,C
2016,1,7,1,C,C
2016,1,7,2,C,C
2016,1,7,3,C,C
2016,1,7,4,C,C
2016,1,7,5,C,C
2016,1,7,6,C,C
2016,1,7,7,C,C
2016,1,7,8,C,C
2016,1,7,9,C,C
2016,1,7,10,C,C
2016,1,7,11,C,C
2016,1,7,12,C,C
2016,1,7,13,C,C
2016,1,7,14,C,C
2016,1,7,15,9.5,9.5
2016,1,7,16,10.1,10.1
2016,1,7,17,10.9,10.9
2016,1,7,18,11.8,11.8
2016,1,7,19,12.1,12.1
2016,1,7,20,13.3,13.3
2016,1,7,21,11.6,11.6
2016,1,7,22,10.4,10.4
2016,1,7,23,10.2,10.2
2016,1,8,0,9.0,8.9
2016,1,8,1,9.7,9.7
2016,1,8,2,C,9.8
2016,1,8,3,C,10.0
2016,1,8,4,C,C
2016,1,8,5,C,10.0
2016,1,8,6,C,8.2
2016,1,8,7,C,C
2016,1,8,8,C,C
2016,1,8,9,C,C
2016,1,8,10,C,C
2016,1,8,11,C,C
2016,1,8,12,C,C
2016,1,8,13,C,C
2016,1,8,14,C,C
2016,1,8,15,C,C
2016,1,8,16,C,C
2016,1,8,17,C,C
2016,1,8,18,C,C
2016,1,8,19,C,C
2016,1,8,20,C,C
2016,1,8,21,C,C
2016,1,8,22,C,C
2016,1,8,23,C,C
2016,1,9,0,C,C
2016,1,9,1,C,C
2016,1,9,2,C,C
2016,1,9,3,C,C
2016,1,9,4,C,C
2016,1,9,5,C,C
2016,1,9,6,C,C
2016,1,9,7,C,C
2016,1,9,8,C,C
2016,1,9,9,C,C
2016,1,9,10,C,C
2016,1,9,11,C,C
2016,1,9,12,C,C
2016,1,9,13,C,C
2016,1,9,14,C,C
2016,1,9,15,C,C
2016,1,9,16,C,C
2016,1,9,17,C,C
2016,1,9,18,C,C
2016,1,9,19,C,C
2016,1,9,20,C,C
2016,1,9,21,C,C
2016,1,9,22,C,C
2016,1,9,23,C,C
2016,1,10,0,C,C
2016,1,10,1,C,C
2016,1,10,2,C,C
2016,1,10,3,C,C
2016,1,10,4,C,C
2016,1,10,5,C,C
2016,1,10,6,C,C
2016,1,10,7,C,C
2016,1,10,8,C,C
2016,1,10,9,C,C
2016,1,10,10,C,C
2016,1,10,11,C,C
2016,1,10,12,C,C
2016,1,10,13,C,C
2016,1,10,14,C,C
2016,1,10,15,C,C
2016,1,10,16,C,C
2016,1,10,17,C,C
2016,1,10,18,C,C
2016,1,10,19,C,C
2016,1,10,20,C,C
2016,1,10,21,C,C
2016,1,10,22,C,C
2016,1,10,23,C,C
2016,1,11,0,C,C
2016,1,11,1,C,C
2016,1,11,2,C,C
2016,1,11,3,C,C
2016,1,11,4,C,C
2016,1,11,5,C,C
2016,1,11,6,C,C
2016,1,11,7,C,C
2016,1,11,8,C,C
2016,1,11,9,C,C
2016,1,11,10,C,C
2016,1,11,11,C,C
2016,1,11,12,C,C
2016,1,11,13,C,C
2016,1,11,14,C,C
2016,1,11,15,C,C
2016,1,11,16,C,C
2016,1,11,17,C,C
2016,1,11,18,C,C
2016,1,11,19,C,C
2016,1,11,20,C,C
2016,1,11,21,C,C
2016,1,11,22,C,C
2016,1,11,23,C,C
2016,1,12,0,C,C
2016,1,12,1,C,C
2016,1,12,2,C,C
2016,1,12,3,C,C
2016,1,12,4,C,C
2016,1,12,5,C,C
2016,1,12,6,C,C
2016,1,12,7,C,C
2016,1,12,8,C,C
2016,1,12,9,C,C
2016,1,12,10,C,C
2016,1,12,11,C,C
2016,1,12,12,C,C
2016,1,12,13,8.2,8.2
2016,1,12,14,8.9,8.9
2016,1,12,15,9.5,9.5
2016,1,12,16,10.3,10.3
2016,1,12,17,11.3,11.3
